Level	Date and Time	Source	Event ID	Task Category
Information	26-11-2025 10:13:28	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:13:28	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:12:44	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:12:17	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:12:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:11:53	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:11:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Error	26-11-2025 10:09:15	Service Control Manager	7034	None	The Dolby DAX API Service service terminated unexpectedly.  It has done this 1 time(s).
Information	26-11-2025 10:09:14	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\Users\gunis\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information	26-11-2025 10:08:37	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:08:37	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:07:58	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:07:56	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:07:56	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:07:23	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:07:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Warning	26-11-2025 10:07:15	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Saiganesh\gunis SID (S-1-5-21-2782663264-3991100608-3008750438-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	26-11-2025 10:03:06	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:03:06	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:02:26	Netwtw14	7003	None	7003 - Roam Complete
Information	26-11-2025 10:02:26	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:01:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:01:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:01:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:01:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:01:02	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:00:58	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:00:57	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:00:56	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 10:00:56	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:53	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:52	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:52	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:47	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:46	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:46	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:59:45	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:42	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:42	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:41	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:41	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:36	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:35	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:35	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:58:34	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:31	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:31	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:30	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:30	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:25	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:24	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:24	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:23	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:19	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:19	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:18	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:17	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:14	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:13	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:13	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:11	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:10	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:09	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:04	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:57:03	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:59	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:58	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:58	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:57	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:52	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:52	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:56:50	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 5 to 6.

Reason PolicyChange 

BootId: 615"
Information	26-11-2025 09:56:50	Microsoft-Windows-Kernel-Power	507	(158)	"The system is exiting Modern Standby 

Reason: Lid."
Information	26-11-2025 09:56:49	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Connected, Reason: None
Warning	26-11-2025 09:56:49	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning	26-11-2025 09:56:49	Win32k	701	None	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information	26-11-2025 09:55:53	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby
Information	26-11-2025 09:55:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:51	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:50	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:50	Netwtw14	7021	None	7021 - Connection telemetry fields and analysis usage
Information	26-11-2025 09:55:47	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 4 to 5.

Reason PolicyChange 

BootId: 615"
Information	26-11-2025 09:55:47	Microsoft-Windows-Kernel-Power	506	(157)	"The system is entering Modern Standby 

Reason: Lid."
Information	26-11-2025 09:55:47	Microsoft-Windows-Kernel-Power	566	(268)	"The system session has transitioned from 3 to 4.

Reason PolicyChange 

BootId: 615"
Warning	26-11-2025 09:55:47	Win32k	700	None	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
